Employment Supports Performance Outcome System Provider Report for all -- 2018
Number Participating by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,#in Individual Competitive Employment,# in Group Integrated Employment, # in Self Employment,# in Job Search, # in Other Day Support and Wrap Around Activities,% inIndividual Competitive Employment,%$ in Group Integrated Employment,% in Self Employment, % in Job Search, % in Other Day Support and Wrap-around Activities 
"Aditus Inc.","25","11","5","11","6","0","0","6"
"Advocates Inc.","44","7","6","2","30","23","27","0"
"Alternatives Unlimited","72","65","65","65","50","50","0","0"
"Amego Inc.","38","38","38","38","38","38","1","0"
"American Training","232","199","199","154","231","216","127","3"
"Attleboro Enterprises","61","12","12","12","22","3","21","0"
"Autism Services Association","62","5","5","5","62","62","7","0"
"Barry L Price Rehab Center","33","5","5","5","27","27","0","0"
"Behavioral Associates Of Mass","4","1","1","1","0","0","0","0"
"Berkshire County ARC","120","16","8","15","32","18","3","11"
"Berkshire Family & Indv Resources","46","42","41","24","14","14","0","0"
"Berkshire Hills Music Academy","38","37","31","37","38","38","0","1"
"Best Buddies Jobs","22","5","4","4","6","2","0","4"
"Better Community Living","4","1","1","1","4","1","3","0"
"Boston College","19","0","0","0","1","1","1","0"
"Bridgewell Inc.","73","73","73","73","70","43","67","0"
"Brockton Area Arc","67","36","34","22","62","58","2","4"
"Brockton Area Multi Services","45","17","17","15","23","9","6","20"
"CapeAbilities","91","36","36","25","78","54","46","2"
"Cardinal Cushing Centers","79","64","64","38","76","76","9","3"
"Career Resources Corporation","30","18","18","17","26","23","5","0"
"Catholic Charities  Worcester/ Mercy Centre","64","0","0","0","20","20","1","0"
"Center House /Bay Cove Human Services","15","1","1","1","11","11","0","0"
"Center of Hope Foundation, Inc.","110","5","1","5","88","54","61","0"
"CLASS Inc.","55","11","11","11","51","50","19","8"
"Collaborative for Regional Educational Services","27","5","5","4","1","1","0","0"
"Community Connections","135","26","12","22","92","1","83","9"
"Community Options Inc.","33","14","4","14","14","14","0","1"
"Community Work Services","32","15","14","5","26","16","0","11"
"Cooperative Production","6","4","4","3","6","5","1","0"
"Dr Franklin Perkins School","60","37","37","37","32","5","2","29"
"Eliot Community Human Service","14","14","14","14","11","11","0","0"
"Friendship Home Inc.","54","36","34","34","53","53","0","0"
"GAAMHA Inc","59","30","12","30","43","43","0","0"
"Goodwill Industries-Berkshires","3","0","0","0","0","0","0","0"
"Goodwill Industries-Springfield","77","63","63","56","65","65","0","0"
"Greater Newburyport Opportunities","76","51","51","51","70","66","3","4"
"Greater Waltham ARC/ Opportunities for Inclusion","31","0","0","0","2","2","0","0"
"GROW Associates Inc.","37","36","36","5","4","4","0","0"
"Horace Mann Educational Associates","175","166","165","140","174","174","12","0"
"Institute Of Professional Practice","17","8","5","8","2","0","1","1"
"Justice Resource Institute","82","21","12","21","73","73","9","0"
"Kennedy-Donovan Center","13","5","4","5","2","2","0","0"
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","42","41","18","43","1","42","0"
"LifeStream Inc.","22","17","16","17","22","21","7","2"
"Lifeworks","239","85","0","85","197","197","0","0"
"M.O. L.I.F.E.","35","14","14","14","31","22","5","13"
"MAB Community Services, Inc.","32","3","3","3","32","32","5","3"
"Meridian of Servicenet","86","12","12","8","25","24","0","2"
"Microtek","15","0","0","0","0","0","0","0"
"Minute Man Arc","73","32","30","6","66","57","3","23"
"Morgan Memorial Goodwill","137","46","45","42","68","53","11","6"
"Nemasket Group","37","17","14","15","30","29","2","1"
"New England Business Associates","81","26","25","20","0","0","0","0"
"New England Center for Children, Inc.","7","0","0","0","4","0","0","4"
"New England Village","36","15","14","11","32","32","0","0"
"Northeast ARC/ Heritage Industries","113","10","5","10","74","68","10","0"
"Nupath","53","50","50","50","49","48","21","6"
"People Inc.","111","76","41","76","89","78","27","4"
"Plus Company","69","66","65","66","66","66","0","0"
"PRIDE Inc.","71","37","37","32","54","50","29","0"
"Regional Employment Services","109","21","14","21","6","5","0","1"
"Rehabilitative Resources","4","0","0","0","1","0","1","1"
"Riverside Industries","156","11","10","9","97","94","10","3"
"Road To Responsibility","209","6","3","5","188","188","2","0"
"Seven Hills Family Services","210","2","0","2","190","190","2","5"
"South Shore ARC","14","14","14","12","14","14","0","0"
"Southeastern Massachusetts Educational Collaborative","102","43","43","43","86","62","54","0"
"SUNSHINE VILLAGE","160","20","0","20","113","113","0","0"
"The Arc of East Middlesex","75","44","24","44","69","60","59","1"
"The ARC of Greater Plymouth","68","51","51","51","64","64","0","1"
"The Arc of Opportunity","46","16","16","16","40","40","0","0"
"The Charles River Center/ Charles River ARC","171","148","80","139","2","1","2","0"
"TILL","11","2","2","2","11","11","0","0"
"Triangle Inc.","172","88","63","69","162","161","1","17"
"Valley Collaborative","84","73","71","11","80","80","0","0"
"Valley Educational  Associates","81","9","9","9","78","78","0","0"
"Viability","348","72","42","65","166","151","26","0"
"Vinfen Employment Training Center","22","22","22","22","0","0","0","0"
"Vinfen Gateway Arts","65","0","0","0","0","0","0","0"
"Vocational Advancement","8","5","5","5","5","5","0","0"
"Walnut Street Center","41","41","41","41","41","41","10","0"
"Waltham Committee Inc.","12","11","11","11","8","8","0","0"
"Work Inc.","253","75","62","74","153","142","3","11"
"Work Opportunities Unlimited","299","156","115","140","40","34","13","3"
"Work Opportunity Center, Inc.","92","69","68","68","68","68","0","0"
"State","6459","2783","2326","2382","4300","3814","862","224"


Hours of Participation by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean hours -- individual competitive employment,Mean hours --group integrated employment, % of hours in activity -- individual competitive employment, % of hours in activity -- group integrated employment
"Aditus Inc.","25","0","42.31","33.15","67.1","32.9"
"Advocates Inc.","44","1","26.33","","100.0","0.0"
"Alternatives Unlimited","72","5","34.77","19.24","38.4","61.6"
"Amego Inc.","38","0","11.15","11.51","6.3","93.7"
"American Training","232","3","35.21","14.88","75.3","24.7"
"Attleboro Enterprises","61","1","54.67","18.06","25.2","74.8"
"Autism Services Association","62","4","31.03","19.41","34.8","65.2"
"Barry L Price Rehab Center","33","0","47.69","","100.0","0.0"
"Behavioral Associates Of Mass","4","0","","21.50","0.0","100.0"
"Berkshire County ARC","120","9","46.70","58.53","29.6","70.4"
"Berkshire Family & Indv Resources","46","1","47.33","74.10","8.9","91.1"
"Berkshire Hills Music Academy","38","4","23.22","6.84","71.4","28.6"
"Best Buddies Jobs","22","3","79.18","","100.0","0.0"
"Better Community Living","4","0","17.73","","100.0","0.0"
"Boston College","19","3","96.71","","100.0","0.0"
"Bridgewell Inc.","73","1","48.39","11.68","34.8","65.2"
"Brockton Area Arc","67","4","41.43","31.01","29.8","70.2"
"Brockton Area Multi Services","45","0","62.95","","100.0","0.0"
"CapeAbilities","91","0","30.08","20.32","44.1","55.9"
"Cardinal Cushing Centers","79","6","31.54","5.79","85.1","14.9"
"Career Resources Corporation","30","6","36.96","19.75","90.3","7.7"
"Catholic Charities  Worcester/ Mercy Centre","64","0","35.89","29.90","32.9","67.1"
"Center House /Bay Cove Human Services","15","4","50.97","","100.0","0.0"
"Center of Hope Foundation, Inc.","110","0","39.65","34.32","21.9","78.1"
"CLASS Inc.","55","5","60.27","11.75","70.4","29.6"
"Collaborative for Regional Educational Services","27","1","48.03","89.27","6.1","93.9"
"Community Connections","135","11","37.33","","99.8","0.0"
"Community Options Inc.","33","0","71.47","33.02","76.6","22.1"
"Community Work Services","32","2","95.82","34.57","58.1","41.9"
"Cooperative Production","6","1","32.20","","80.9","0.0"
"Dr Franklin Perkins School","60","1","41.60","23.69","14.0","86.0"
"Eliot Community Human Service","14","1","28.17","6.62","86.4","13.6"
"Friendship Home Inc.","54","0","24.06","","100.0","0.0"
"GAAMHA Inc","59","3","80.38","55.02","42.9","57.1"
"Goodwill Industries-Berkshires","3","0","94.33","","100.0","0.0"
"Goodwill Industries-Springfield","77","0","40.00","38.17","1.5","98.5"
"Greater Newburyport Opportunities","76","1","41.02","33.27","71.1","28.9"
"Greater Waltham ARC/ Opportunities for Inclusion","31","0","","86.31","0.0","100.0"
"GROW Associates Inc.","37","3","42.87","13.16","90.5","9.5"
"Horace Mann Educational Associates","175","0","46.12","25.15","31.6","68.4"
"Institute Of Professional Practice","17","2","54.27","","100.0","0.0"
"Justice Resource Institute","82","0","50.18","48.82","33.9","66.1"
"Kennedy-Donovan Center","13","4","30.50","","100.0","0.0"
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","1","27.14","33.80","12.3","87.7"
"LifeStream Inc.","22","4","16.30","","100.0","0.0"
"Lifeworks","239","13","57.07","22.03","58.7","41.3"
"M.O. L.I.F.E.","35","12","33.47","","100.0","0.0"
"MAB Community Services, Inc.","32","0","41.00","","100.0","0.0"
"Meridian of Servicenet","86","4","57.71","55.23","28.2","71.8"
"Microtek","15","1","102.87","","100.0","0.0"
"Minute Man Arc","73","2","57.22","30.45","44.6","55.4"
"Morgan Memorial Goodwill","137","8","79.20","57.52","48.4","51.6"
"Nemasket Group","37","3","34.70","","98.8","0.0"
"New England Business Associates","81","9","53.64","","91.6","0.0"
"New England Center for Children, Inc.","7","1","97.05","16.00","92.4","7.6"
"New England Village","36","1","37.41","69.34","38.4","61.6"
"Northeast ARC/ Heritage Industries","113","16","50.87","37.07","48.0","52.0"
"Nupath","53","1","60.12","39.36","44.0","56.0"
"People Inc.","111","3","34.85","29.02","46.1","53.9"
"Plus Company","69","0","43.29","13.05","80.6","19.4"
"PRIDE Inc.","71","3","33.41","41.42","17.7","82.3"
"Regional Employment Services","109","10","53.44","44.41","76.6","23.4"
"Rehabilitative Resources","4","0","52.67","","67.5","0.0"
"Riverside Industries","156","2","53.52","46.20","17.6","82.4"
"Road To Responsibility","209","1","56.44","17.62","50.7","49.3"
"Seven Hills Family Services","210","1","64.90","28.76","53.6","46.4"
"South Shore ARC","14","0","46.80","6.07","84.6","15.4"
"Southeastern Massachusetts Educational Collaborative","102","11","35.03","","100.0","0.0"
"SUNSHINE VILLAGE","160","2","29.28","51.71","7.7","92.3"
"The Arc of East Middlesex","75","7","29.47","16.10","65.8","34.2"
"The ARC of Greater Plymouth","68","5","43.65","28.41","68.4","31.6"
"The Arc of Opportunity","46","0","54.50","39.62","20.2","79.8"
"The Charles River Center/ Charles River ARC","171","5","48.02","12.29","66.9","33.1"
"TILL","11","0","27.00","35.20","7.1","92.9"
"Triangle Inc.","172","20","56.24","31.56","46.6","53.4"
"Valley Collaborative","84","5","52.52","23.83","33.9","66.1"
"Valley Educational  Associates","81","0","","21.35","0.0","100.0"
"Viability","348","30","55.39","55.32","65.6","34.4"
"Vinfen Employment Training Center","22","2","38.88","8.02","64.5","35.5"
"Vinfen Gateway Arts","65","0","","93.28","0.0","100.0"
"Vocational Advancement","8","0","","53.81","0.0","100.0"
"Walnut Street Center","41","0","","42.73","0.0","100.0"
"Waltham Committee Inc.","12","2","60.25","11.06","80.3","19.7"
"Work Inc.","253","20","58.15","110.99","48.9","51.1"
"Work Opportunities Unlimited","299","46","55.08","16.00","99.8","0.1"
"Work Opportunity Center, Inc.","92","3","37.67","22.47","63.2","36.8"
"State","6459","344","48.24","35.40","53.2","46.6"


Monthly Wages
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean wages -- individual competitive employment,Mean wages --group integrated employment, % earning above minimum wage -- individual competitive employment, % earning above minimum wage -- group integrated employment
"Aditus Inc.","25","0","503.10","320.53","87.5","30.0"
"Advocates Inc.","44","1","305.44","","100.0","0"
"Alternatives Unlimited","72","5","388.88","211.72","100.0","100.0"
"Amego Inc.","38","0","148.30","126.59","100.0","100.0"
"American Training","232","3","357.06","105.48","88.9","78.6"
"Attleboro Enterprises","61","1","625.33","198.66","100.0","100.0"
"Autism Services Association","62","4","356.45","82.22","94.1","7.8"
"Barry L Price Rehab Center","33","0","562.14","","100.0","0"
"Behavioral Associates Of Mass","4","0","","404.00","0","100.0"
"Berkshire County ARC","120","9","528.62","401.40","100.0","21.1"
"Berkshire Family & Indv Resources","46","1","557.42","558.73","100.0","12.8"
"Berkshire Hills Music Academy","38","4","285.46","98.03","100.0","100.0"
"Best Buddies Jobs","22","3","1013.34","","100.0","0"
"Better Community Living","4","0","201.86","","50.0","0"
"Boston College","19","3","1080.46","","100.0","0"
"Bridgewell Inc.","73","1","608.25","128.49","100.0","100.0"
"Brockton Area Arc","67","4","551.37","341.99","100.0","100.0"
"Brockton Area Multi Services","45","0","709.10","","96.8","0"
"CapeAbilities","91","0","357.09","233.85","100.0","100.0"
"Cardinal Cushing Centers","79","6","380.00","63.73","100.0","100.0"
"Career Resources Corporation","30","6","406.56","217.25","100.0","100.0"
"Catholic Charities  Worcester/ Mercy Centre","64","0","402.48","103.78","100.0","0.0"
"Center House /Bay Cove Human Services","15","4","624.30","","91.7","0"
"Center of Hope Foundation, Inc.","110","0","463.35","206.35","100.0","8.4"
"CLASS Inc.","55","5","710.58","66.92","100.0","3.6"
"Collaborative for Regional Educational Services","27","1","528.33","982.01","66.7","96.0"
"Community Connections","135","11","464.73","","99.0","0"
"Community Options Inc.","33","0","984.00","312.78","100.0","50.0"
"Community Work Services","32","2","1474.63","386.74","100.0","100.0"
"Cooperative Production","6","1","431.98","","100.0","0"
"Dr Franklin Perkins School","60","1","457.60","276.17","100.0","100.0"
"Eliot Community Human Service","14","1","353.89","72.88","100.0","100.0"
"Friendship Home Inc.","54","0","267.49","","100.0","0"
"GAAMHA Inc","59","3","921.92","565.35","100.0","54.5"
"Goodwill Industries-Berkshires","3","0","1037.74","","66.7","0"
"Goodwill Industries-Springfield","77","0","440.00","419.82","100.0","100.0"
"Greater Newburyport Opportunities","76","1","459.85","365.93","93.3","100.0"
"Greater Waltham ARC/ Opportunities for Inclusion","31","0","","950.34","0","100.0"
"GROW Associates Inc.","37","3","479.54","147.25","100.0","100.0"
"Horace Mann Educational Associates","175","0","544.07","158.22","100.0","55.3"
"Institute Of Professional Practice","17","2","516.25","","90.0","0"
"Justice Resource Institute","82","0","663.64","537.00","100.0","100.0"
"Kennedy-Donovan Center","13","4","358.21","","100.0","0"
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","1","298.57","241.31","100.0","17.5"
"LifeStream Inc.","22","4","179.30","","100.0","0"
"Lifeworks","239","13","688.76","172.51","95.3","59.4"
"M.O. L.I.F.E.","35","12","380.36","","96.6","0"
"MAB Community Services, Inc.","32","0","451.00","","100.0","0"
"Meridian of Servicenet","86","4","694.81","619.88","100.0","100.0"
"Microtek","15","1","1168.27","","100.0","0"
"Minute Man Arc","73","2","824.01","336.26","100.0","100.0"
"Morgan Memorial Goodwill","137","8","995.77","576.13","100.0","71.2"
"Nemasket Group","37","3","411.59","","100.0","0"
"New England Business Associates","81","9","606.74","","98.4","0"
"New England Center for Children, Inc.","7","1","1406.51","176.00","100.0","100.0"
"New England Village","36","1","430.39","689.73","100.0","61.5"
"Northeast ARC/ Heritage Industries","113","16","579.44","234.94","95.3","34.4"
"Nupath","53","1","692.47","433.00","100.0","100.0"
"People Inc.","111","3","363.58","319.17","87.2","100.0"
"Plus Company","69","0","502.29","121.07","85.7","35.7"
"PRIDE Inc.","71","3","368.17","458.90","87.5","100.0"
"Regional Employment Services","109","10","653.73","428.56","92.6","72.0"
"Rehabilitative Resources","4","0","728.90","","100.0","0"
"Riverside Industries","156","2","656.50","511.24","100.0","100.0"
"Road To Responsibility","209","1","689.45","194.75","100.0","100.0"
"Seven Hills Family Services","210","1","849.66","330.05","100.0","100.0"
"South Shore ARC","14","0","540.84","66.79","100.0","100.0"
"Southeastern Massachusetts Educational Collaborative","102","11","390.18","","100.0","0"
"SUNSHINE VILLAGE","160","2","322.06","649.59","100.0","100.0"
"The Arc of East Middlesex","75","7","357.23","177.15","97.6","100.0"
"The ARC of Greater Plymouth","68","5","487.64","312.53","100.0","100.0"
"The Arc of Opportunity","46","0","655.24","319.11","100.0","23.7"
"The Charles River Center/ Charles River ARC","171","5","555.99","54.32","89.7","46.4"
"TILL","11","0","297.00","410.10","100.0","100.0"
"Triangle Inc.","172","20","621.73","347.16","100.0","100.0"
"Valley Collaborative","84","5","630.79","262.23","100.0","100.0"
"Valley Educational  Associates","81","0","","235.74","0","100.0"
"Viability","348","30","633.60","421.39","97.3","56.3"
"Vinfen Employment Training Center","22","2","550.50","88.17","100.0","100.0"
"Vinfen Gateway Arts","65","0","","21.38","0","0.0"
"Vocational Advancement","8","0","","591.94","0","100.0"
"Walnut Street Center","41","0","","470.00","0","100.0"
"Waltham Committee Inc.","12","2","702.79","121.69","100.0","100.0"
"Work Inc.","253","20","670.97","1540.69","100.0","100.0"
"Work Opportunities Unlimited","299","46","656.40","176.00","96.7","100.0"
"Work Opportunity Center, Inc.","92","3","488.35","53.30","100.0","0.0"
"State","6459","344","570.22","320.27","97.5","71.5"


Self Employment Averages for a Three Month Period
"","Total Served (unduplicated count)",Number of individs. in self employment,Mean hours in self employment, Mean self employment earnings, Mean self employment expenses,Mean net self employment earnings
"Aditus Inc.","25","0","","","",""
"Advocates Inc.","44","0","","","",""
"Alternatives Unlimited","72","0","","","",""
"Amego Inc.","38","0","","","",""
"American Training","232","0","","","",""
"Attleboro Enterprises","61","0","","","",""
"Autism Services Association","62","0","","","",""
"Barry L Price Rehab Center","33","0","","","",""
"Behavioral Associates Of Mass","4","0","","","",""
"Berkshire County ARC","120","0","","","",""
"Berkshire Family & Indv Resources","46","0","","","",""
"Berkshire Hills Music Academy","38","0","","","",""
"Best Buddies Jobs","22","0","","","",""
"Better Community Living","4","0","","","",""
"Boston College","19","0","","","",""
"Bridgewell Inc.","73","0","","","",""
"Brockton Area Arc","67","0","","","",""
"Brockton Area Multi Services","45","0","","","",""
"CapeAbilities","91","0","","","",""
"Cardinal Cushing Centers","79","0","","","",""
"Career Resources Corporation","30","2","10.00","100.00","50.00","50.00"
"Catholic Charities  Worcester/ Mercy Centre","64","0","","","",""
"Center House /Bay Cove Human Services","15","0","","","",""
"Center of Hope Foundation, Inc.","110","0","","","",""
"CLASS Inc.","55","0","","","",""
"Collaborative for Regional Educational Services","27","0","","","",""
"Community Connections","135","1","8.00","24.00","58.00",""
"Community Options Inc.","33","2","9.50","232.86","224.62","120.55"
"Community Work Services","32","0","","","",""
"Cooperative Production","6","1","38.00","3364.56","2367.37","997.19"
"Dr Franklin Perkins School","60","0","","","",""
"Eliot Community Human Service","14","0","","","",""
"Friendship Home Inc.","54","0","","","",""
"GAAMHA Inc","59","0","","","",""
"Goodwill Industries-Berkshires","3","0","","","",""
"Goodwill Industries-Springfield","77","0","","","",""
"Greater Newburyport Opportunities","76","0","","","",""
"Greater Waltham ARC/ Opportunities for Inclusion","31","0","","","",""
"GROW Associates Inc.","37","0","","","",""
"Horace Mann Educational Associates","175","0","","","",""
"Institute Of Professional Practice","17","0","","","",""
"Justice Resource Institute","82","0","","","",""
"Kennedy-Donovan Center","13","0","","","",""
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","0","","","",""
"LifeStream Inc.","22","0","","","",""
"Lifeworks","239","0","","","",""
"M.O. L.I.F.E.","35","0","","","",""
